,Block,Latitude,Longitude,zip
235,069XX W FOSTER AVE,41.975539249,-87.801678916,60656
236,017XX S MILLER ST,41.858704603,-87.65220813,60607
237,006XX N STATE ST,41.8926701,-87.62810635299999,60654
238,014XX E 66TH PL,41.774219679,-87.589848887,60637
239,073XX S DAMEN AVE,41.760610721,-87.67342379600001,60636
240,075XX S HARVARD AVE,41.757126706,-87.632843184,60621
241,037XX W WILSON AVE,41.964669329,-87.7212257,60625
242,083XX S KINGSTON AVE,41.74368453,-87.562462526,60617
243,103XX S SAWYER AVE,41.705717815999996,-87.70254654799999,60655
244,027XX N MOBILE AVE,41.929887298000004,-87.78322035,60639
255,077XX S COLES AVE,41.755781299,-87.554309795,60649
256,080XX S MAY ST,41.748108857,-87.652462316,60620
257,005XX S KOSTNER AVE,41.874153389,-87.735238688,60624
258,002XX W 95TH ST,41.72165754,-87.628972081,60619
259,003XX E 53RD ST,41.798450454,-87.61685814100001,60615
260,066XX S LAFLIN ST,41.773349919,-87.661613372,60636
261,057XX W 64TH PL,41.775264034,-87.765094943,60638
262,024XX S WHIPPLE ST,41.847237853,-87.701440873,60623
263,105XX S CHURCH ST,41.701856112,-87.65991180200001,60643
264,012XX W LUNT AVE,42.009172369,-87.662843312,60626
265,001XX N KEDZIE AVE,41.883032433000004,-87.706178064,60624
266,043XX S MICHIGAN AVE,41.815698011,-87.62300861,60653
267,066XX S OAKLEY AVE,41.773071434,-87.680910326,60636
269,012XX N KILDARE AVE,41.903786044,-87.73371691,60651
270,002XX W 119TH ST,41.677954683,-87.629064468,60628
271,004XX N HAMLIN AVE,41.888713428,-87.721000152,60624
272,014XX W 91ST ST,41.728579099,-87.658299293,60620
273,128XX S SANGAMON ST,41.660295175,-87.644974779,60827
274,077XX S ESSEX AVE,41.754937343,-87.56386716,60649
275,003XX E 56TH ST,41.792966839,-87.618092689,60637
276,026XX S HOMAN AVE,41.843881174,-87.709896602,60623
277,021XX N MULLIGAN AVE,41.91931247,-87.784093821,60639
278,059XX S MORGAN ST,41.786499587,-87.64981588399999,60621
279,005XX N HOMAN AVE,41.890977441,-87.711300919,60624
280,029XX W 39TH PL,41.821811574,-87.698341345,60632
281,008XX N HARDING AVE,41.896039237,-87.724882334,60651
282,008XX W AGATITE AVE,41.962737855,-87.650737224,60640
283,009XX W 116TH PL,41.682356024,-87.646196713,60643
284,119XX S LA SALLE ST,41.677396914,-87.626273896,60628
285,055XX W THOMAS ST,41.900335334,-87.76421885299999,60651
286,022XX N KEELER AVE,41.921744142,-87.731586632,60639
287,069XX S WOLCOTT AVE,41.767922363000004,-87.671182448,60636
288,078XX S BENNETT AVE,41.752921007,-87.57845525,60649
289,027XX W FLOURNOY ST,41.872901131999996,-87.69431477799999,60612
290,105XX S YATES AVE,41.70388614,-87.564454179,60617
291,111XX S NORMAL AVE,41.691823054000004,-87.63511555299999,60628
292,064XX S KEDZIE AVE,41.776556962,-87.70308104899999,60629
293,001XX W 71ST ST,41.765452354000004,-87.62871320100001,60621
294,061XX S JUSTINE ST,41.782208675999996,-87.663053518,60636
295,025XX W 79TH ST,41.749990864000004,-87.686073062,60652
296,064XX S BELL AVE,41.776489908,-87.67978316,60636
297,059XX S ELIZABETH ST,41.78632149,-87.65588621799999,60636
298,000XX W 103RD ST,41.70715274,-87.624336573,60628
299,009XX N MONTICELLO AVE,41.898270042,-87.71762508100001,60651
300,016XX W JONQUIL TER,42.021158303,-87.671240738,60626
301,028XX W MELROSE ST,41.94023795,-87.69854975700001,60618
302,071XX S EGGLESTON AVE,41.764639779,-87.63586614299999,60621
303,130XX S DREXEL AVE,41.657909825,-87.600933258,60827
304,076XX S COLFAX AVE,41.756633742,-87.56147562,60649
305,102XX S ST LAWRENCE AVE,41.707877059,-87.60890680600001,60628
306,048XX S WINCHESTER AVE,41.806209835,-87.67341821,60609
307,047XX N LINDER AVE,41.967023885,-87.765000914,60630
308,050XX W WASHINGTON BLVD,41.881742209,-87.750910603,60644
309,026XX S KEDVALE AVE,41.843254431999995,-87.72817188100001,60623
310,000XX S HAMLIN BLVD,41.880457334,-87.720737475,60624
311,015XX W 53RD ST,41.797683743,-87.663999836,60609
312,055XX S LA SALLE ST,41.793486027,-87.629282689,60621
313,062XX S MAPLEWOOD AVE,41.780536589,-87.68734253,60629
314,059XX S PEORIA ST,41.786199667,-87.647380697,60621
315,020XX E 95TH ST,41.722490414,-87.573613605,60617
316,000XX N KARLOV AVE,41.881190843,-87.728133538,60624
317,070XX S CLYDE AVE,41.766700080999996,-87.57386935299999,60649
318,041XX W DIVERSEY AVE,41.93174755,-87.730151223,60641
319,018XX S CENTRAL PARK AVE,41.855794799,-87.71511811399999,60623
320,063XX S FRANCISCO AVE,41.778103008,-87.695803034,60629
321,106XX S WABASH AVE,41.700802584,-87.622150622,60628
322,004XX N SPRINGFIELD AVE,41.889025668,-87.72346516100001,60624
323,001XX N LOCKWOOD AVE,41.883603754,-87.75762869100001,60644
325,044XX N BERNARD ST,41.961811605,-87.71438482200001,60625
326,031XX W WASHINGTON BLVD,41.882806201,-87.704953745,60612
327,063XX S MINERVA AVE,41.778871742,-87.59631384,60637
328,036XX E 99TH ST,41.715809734000004,-87.535797871,60617
330,038XX W 14TH ST,41.862559417,-87.721785736,60624
331,081XX S EBERHART AVE,41.746766617,-87.61237977299999,60619
332,042XX W AUGUSTA BLVD,41.898926722,-87.731756818,60651
333,017XX W 85TH ST,41.739389672,-87.66641190799999,60620
334,011XX N LONG AVE,41.901616743000005,-87.76087576299999,60651
335,107XX S INDIANA AVE,41.69930032,-87.618432157,60628
336,013XX W 110TH ST,41.694018107,-87.655676676,60643
337,059XX S PAULINA ST,41.785800797,-87.66680014200001,60636
338,037XX W ROOSEVELT RD,41.866260623,-87.71855276,60624
339,100XX S FOREST AVE,41.712026319,-87.61632073700001,60628
340,061XX S MAPLEWOOD AVE,41.781859552,-87.687380582,60629
341,002XX E 63RD ST,41.780171366,-87.61959879,60637
342,002XX E 135TH PL,41.648931657,-87.616380495,60827
343,056XX S MICHIGAN AVE,41.792296538,-87.622401614,60621
344,018XX S LAWNDALE AVE,41.855986476,-87.71759400100001,60623
345,030XX N RUTHERFORD AVE,41.935538504,-87.794392413,60634
346,006XX E 115TH ST,41.685481646999996,-87.606899253,60628
347,077XX S AVALON AVE,41.754569374,-87.59434901,60619
348,022XX N KILBOURN AVE,41.921982699000004,-87.738926035,60639
349,132XX S PRAIRIE AVE,41.654628560999996,-87.61588187,60827
350,117XX S THROOP ST,41.680460437,-87.65417161399999,60643
351,122XX S MORGAN ST,41.671647143,-87.64657781,60827
353,078XX S MARSHFIELD AVE,41.751240448000004,-87.66466944,60620
354,091XX S ELLIS AVE,41.728448199,-87.599780921,60619
355,129XX S INDIANA AVE,41.659929131999995,-87.618282255,60827
356,057XX S SANGAMON ST,41.789862875,-87.64869107700001,60621
357,062XX S MAY ST,41.780729909,-87.65331625600001,60621
358,012XX W 48TH ST,41.806889619,-87.65676994399999,60609
359,034XX S LA SALLE ST,41.831385245,-87.62985824,60616
361,024XX E 75TH ST,41.759011078,-87.564456236,60649
362,006XX E 76TH ST,41.756699696999995,-87.608684202,60619
363,084XX S MORGAN ST,41.740953571999995,-87.64862093299999,60620
364,077XX S SANGAMON ST,41.753772600000005,-87.647762725,60620
365,105XX S WALDEN PKWY,41.70239022,-87.66963972,60643
366,102XX S PRAIRIE AVE,41.708383427,-87.61745258200001,60628
367,013XX W HASTINGS ST,41.864276345,-87.659807086,60607
368,020XX E 67TH ST,41.773462299,-87.575574924,60649
369,041XX S ASHLAND AVE,41.818506125999996,-87.665206456,60609
370,057XX S WINCHESTER AVE,41.78929416,-87.672957355,60636
371,046XX S KEDZIE AVE,41.808944648,-87.70400715,60632
372,054XX S MAY ST,41.795515631,-87.6536954,60609
373,034XX W WALNUT ST,41.885452791,-87.712224871,60624
374,095XX S WOODLAWN AVE,41.721376934,-87.59476973700001,60619
375,001XX W 119TH ST,41.677991535,-87.625681696,60628
376,053XX S PAULINA ST,41.796672584,-87.66708724200001,60609
377,063XX S ALBANY AVE,41.778272698,-87.70068483600001,60629
378,051XX W THOMAS ST,41.900437017,-87.75382261700001,60651
379,054XX S ABERDEEN ST,41.795483769,-87.65248554200001,60609
380,076XX S KINGSTON AVE,41.756523865,-87.562686396,60649
381,005XX W DIVISION ST,41.903726889,-87.64259764,60610
382,051XX S CALUMET AVE,41.80149383,-87.617733802,60615
383,070XX S CRANDON AVE,41.767425113,-87.56981026,60649
384,072XX S BENNETT AVE,41.763456466,-87.579306774,60649
385,001XX N JEFFERSON ST,41.883486065,-87.642709199,60661
386,060XX S HERMITAGE AVE,41.783908493,-87.667963719,60636
387,014XX E 77TH ST,41.755097256,-87.58897380399999,60619
388,009XX W 129TH PL,41.658448879,-87.644167401,60827
389,040XX S CALUMET AVE,41.821556441,-87.61849001600001,60653
390,004XX W 75TH ST,41.758053849,-87.635930129,60621
391,074XX S YATES BLVD,41.760349571999996,-87.566401164,60649
392,062XX N RICHMOND ST,41.994637164000004,-87.703181681,60659
394,005XX E 47TH ST,41.809436954,-87.61309335899999,60615
395,025XX N LARAMIE AVE,41.927175388,-87.75625961600001,60639
396,062XX S CARPENTER ST,41.780699031,-87.650885751,60621
397,031XX W ARTHINGTON ST,41.870065355,-87.70407989,60612
398,012XX E MIDWAY PLAISANCE,41.787239506,-87.59595399700001,60637
400,130XX S RHODES AVE,41.658601587,-87.60962764700001,60827
403,073XX S CLAREMONT AVE,41.760222176999996,-87.681799203,60636
404,023XX W 72ND ST,41.762901273000004,-87.68143121899999,60636
405,047XX W HARRISON ST,41.873191577,-87.74347226399999,60644
406,070XX S SANGAMON ST,41.766494381,-87.64808916700001,60621
407,001XX N CENTRAL PARK DR,41.883583662,-87.71573165299999,60624
408,002XX W 104TH PL,41.704353647,-87.629713945,60628
409,102XX S EGGLESTON AVE,41.707667777,-87.633592761,60628
410,064XX S HERMITAGE AVE,41.776909735,-87.667823427,60636
411,038XX W ARGYLE ST,41.971930457,-87.72379653200001,60625
412,029XX W PERSHING RD,41.822714065999996,-87.69827372700001,60632
413,078XX S KINGSTON AVE,41.752881736999996,-87.56262002,60649
414,073XX S UNION AVE,41.761034377,-87.64186861600001,60621
415,035XX S COTTAGE GROVE AVE,41.830109680999996,-87.610058377,60653
416,060XX S MAPLEWOOD AVE,41.783852167,-87.687426581,60629
417,105XX S PEORIA ST,41.702685171999995,-87.645134401,60643
418,045XX W LAKE ST,41.88619916,-87.73865189600001,60651
420,052XX S WELLS ST,41.799523382,-87.631963552,60621
421,001XX E 124TH ST,41.668953053,-87.619690349,60827
422,087XX S STATE ST,41.735857166,-87.624152861,60619
423,091XX S COTTAGE GROVE AVE,41.729126787,-87.60464195700001,60619
424,015XX W 78TH ST,41.752190503,-87.66240573399999,60620
425,027XX S DEARBORN ST,41.844112707,-87.628445336,60616
426,075XX S UNION AVE,41.757183511,-87.641767016,60620
427,000XX N LECLAIRE AVE,41.880949646,-87.752640036,60644
428,016XX N LECLAIRE AVE,41.909909727,-87.75265684700001,60639
429,013XX S MILLARD AVE,41.863733464,-87.716561504,60624
432,017XX N MASON AVE,41.911700871,-87.774048479,60639
433,122XX S STATE ST,41.672326754000004,-87.622493441,60628
434,050XX N ALBANY AVE,41.972565366,-87.706149985,60625
435,025XX N WESTERN AVE,41.927452663000004,-87.68772927100001,60647
436,026XX S DRAKE AVE,41.843793935,-87.71355278600001,60623
437,015XX W 79TH ST,41.750374294000004,-87.662025195,60620
438,047XX S FORRESTVILLE AVE,41.808970443,-87.61265842200001,60615
439,082XX S WENTWORTH AVE,41.744650431,-87.629142232,60619
440,041XX W POTOMAC AVE,41.904419476,-87.729956677,60651
441,106XX S GREEN BAY AVE,41.701992038,-87.541344349,60617
442,024XX W MADISON ST,41.881149287,-87.68774758200001,60612
443,104XX S WABASH AVE,41.704466939,-87.62226038700001,60628
444,069XX S EAST END AVE,41.768924366,-87.58285349399999,60637
445,019XX S HARDING AVE,41.85450909,-87.72358395799999,60623
446,052XX S PEORIA ST,41.799140951,-87.64771213700001,60609
447,029XX W FIFTH AVE,41.880252868,-87.69924661,60612
448,030XX N KNOX AVE,41.936268932,-87.743141292,60641
449,031XX W FULTON BLVD,41.886445247,-87.704484736,60612
450,003XX E 130TH ST,41.659116446999995,-87.61426579200001,60827
451,055XX S WELLS ST,41.793457578,-87.631809658,60621
453,011XX N CENTRAL PARK AVE,41.901348592,-87.71651188,60651
454,013XX S AVERS AVE,41.863748604,-87.72144399999999,60624
455,002XX W 106TH ST,41.701624878000004,-87.629117507,60628
456,061XX S SANGAMON ST,41.782674487,-87.64850722899999,60621
457,081XX S LAFLIN ST,41.745757239,-87.66089335,60620
459,000XX S SPRINGFIELD AVE,41.880261937,-87.723210667,60624
460,130XX S EVANS AVE,41.657878886999995,-87.603403725,60827
461,097XX S WOODLAWN AVE,41.717577997,-87.594644745,60619
462,049XX W ADAMS ST,41.878560762,-87.74804227700001,60644
463,010XX N LEAMINGTON AVE,41.899276772,-87.75447959,60651
464,009XX N KEDVALE AVE,41.89796724,-87.729855801,60651
465,048XX W FULTON ST,41.885720866999996,-87.74703679,60644
466,059XX W DIVERSEY AVE,41.931149149,-87.775157527,60639
467,013XX W 57TH ST,41.790486472,-87.657606178,60636
468,014XX E 67TH PL,41.772389445,-87.58988102100001,60637
469,012XX W 81ST ST,41.746835061999995,-87.655172836,60620
470,055XX N LINCOLN AVE,41.982224277,-87.69359428799999,60659
471,024XX W JARVIS AVE,42.015894034,-87.69087606,60645
472,001XX E 120TH PL,41.675346776,-87.618711939,60628
473,088XX S PAULINA ST,41.733362925,-87.665426433,60620
474,057XX S PAULINA ST,41.789904134000004,-87.66690798,60636
475,010XX N RIDGEWAY AVE,41.900015031,-87.720124484,60651
476,085XX S HERMITAGE AVE,41.738799084,-87.666788086,60620
477,000XX E 63RD ST,41.780032862,-87.622045795,60621
478,030XX W JACKSON BLVD,41.877369643,-87.70141585200001,60612
479,093XX S LUELLA AVE,41.725274943,-87.56933143100001,60617
480,038XX W MONROE ST,41.87980954,-87.721738795,60624
481,008XX W EVERGREEN AVE,41.905921825,-87.650321536,60642
482,079XX S GREENWOOD AVE,41.750527818,-87.59789514399999,60619
483,056XX S WABASH AVE,41.792416366,-87.624028472,60621
484,042XX W CARROLL AVE,41.886926775999996,-87.731876755,60624
485,106XX S LAFAYETTE AVE,41.700501645,-87.624523155,60628
486,078XX S MARYLAND AVE,41.752314797,-87.603991283,60619
487,123XX S YALE AVE,41.670052557,-87.62842590000001,60827
488,133XX S PRAIRIE AVE,41.653007794000004,-87.615625419,60827
489,119XX S MICHIGAN AVE,41.676878081999995,-87.62047400600001,60628
490,055XX S SHIELDS AVE,41.793647419,-87.634139894,60621
491,038XX N KILPATRICK AVE,41.951320693,-87.74468982799999,60641
492,028XX N TALMAN AVE,41.933085869,-87.69398266399999,60647
493,025XX E 78TH ST,41.753584089,-87.56341055700001,60649
494,012XX W WASHBURNE AVE,41.866129145,-87.657544481,60607
495,007XX S LAVERGNE AVE,41.870862882,-87.749070785,60644
496,087XX S COMMERCIAL AVE,41.736922044,-87.55141976600001,60617
497,009XX W NORTH AVE,41.910857665,-87.651995629,60614
498,008XX S PARK TER,41.871361856,-87.629577951,60605
499,054XX W WASHINGTON BLVD,41.882297385,-87.760901352,60644
504,032XX W WALNUT ST,41.885386071999996,-87.707014386,60624
505,028XX W POLK ST,41.871059334,-87.696712303,60612
506,009XX N KEYSTONE AVE,41.897674286,-87.727379215,60651
507,001XX S CLINTON ST,41.880002373,-87.641134667,60606
508,021XX W LEXINGTON ST,41.872332627,-87.67960814899999,60612
509,059XX W FULTON ST,41.885589421,-87.774052255,60644
510,070XX S CHAPPEL AVE,41.7671089,-87.575103515,60649
517,110XX S STATE ST,41.693176605,-87.6231207,60628
538,033XX W DEVON AVE,41.997341964,-87.712065116,60659
550,027XX W HIRSCH ST,41.906593937,-87.69512138,60622
551,035XX W CHICAGO AVE,41.895470438000004,-87.71549226299999,60624
552,004XX W BARRY AVE,41.937722337,-87.640319696,60613
553,003XX E 57TH ST,41.791136961999996,-87.618182705,60637
554,068XX S ASHLAND AVE,41.769526997,-87.66394436600001,60636
555,131XX S LANGLEY AVE,41.656937576,-87.605134262,60827
556,018XX W 73RD ST,41.761211971,-87.669180544,60636
557,009XX W 71ST ST,41.765160516,-87.647146658,60621
558,019XX S CALUMET AVE,41.85635485,-87.619119418,60605
559,134XX S BURLEY AVE,41.651338508,-87.54473503700001,60633
560,048XX W SCHOOL ST,41.94063601,-87.748165955,60641
561,032XX W 63RD ST,41.778953847,-87.70428579600001,60629
562,029XX N SHERIDAN RD,41.935156334,-87.639384562,60657
575,066XX W 64TH PL,41.774856633,-87.78690077,60638
576,039XX W MONROE ST,41.879774973,-87.72452990200001,60624
577,063XX W 56TH ST,41.79054357,-87.780130326,60638
578,0000X S DEARBORN ST,41.881624191,-87.62939190799999,60603
579,004XX W SUPERIOR ST,41.895529663000005,-87.638924852,60610
580,026XX W AUGUSTA BLVD,41.899324159,-87.692604172,60622
581,002XX N HOMAN AVE,41.885155992,-87.711133375,60624
582,018XX N CLYBOURN AVE,41.914434094,-87.65443023200001,60614
583,008XX W NORTH AVE,41.910886106999996,-87.650316375,60614
584,067XX S HERMITAGE AVE,41.771691803,-87.66764641399999,60636
585,045XX S WOOD ST,41.811519008000005,-87.66990830200001,60609
603,047XX W DEMING PL,41.927243123000004,-87.744734834,60639
606,006XX W WAVELAND AVE,41.950173229,-87.645404919,60613
607,078XX S CLAREMONT AVE,41.751375919000004,-87.681558841,60620
608,032XX N CLARK ST,41.94044868,-87.651081589,60657
609,079XX S PAULINA ST,41.749737947,-87.665850391,60620
621,045XX W ROOSEVELT RD,41.865967079,-87.73943050700001,60624
622,063XX S PAULINA ST,41.778585275,-87.666665886,60636
623,040XX W WILCOX ST,41.878856260999996,-87.726719805,60624
626,005XX N LARAMIE AVE,41.889492699,-87.755401618,60644
627,016XX N LUNA AVE,41.909868892,-87.764233371,60639
628,058XX S PEORIA ST,41.787654353,-87.647416526,60621
629,034XX W CARROLL AVE,41.887443217,-87.71238187200001,60624
630,016XX E 53RD ST,41.799592992,-87.58514734799999,60615
631,042XX W WILCOX ST,41.878797251,-87.731673919,60624
632,013XX W 108TH PL,41.696750795999996,-87.65556377200001,60643
633,000XX W 104TH PL,41.704419193,-87.624304349,60628
634,035XX S RHODES AVE,41.829651528,-87.614451899,60653
636,076XX S RHODES AVE,41.755951187,-87.61140838600001,60619
637,079XX S MUSKEGON AVE,41.751054131,-87.55530512200001,60649
638,002XX N HAMLIN BLVD,41.884654190999996,-87.72090670899999,60624
639,026XX W NORTH AVE,41.910261865,-87.69245806299999,60622
640,017XX W TOUHY AVE,42.012649769,-87.67382751,60626
641,040XX W FIFTH AVE,41.87277767,-87.726186144,60624
642,007XX N TRUMBULL AVE,41.894307857,-87.712620235,60624
643,012XX W 73RD PL,41.760480866,-87.655828204,60620
644,020XX W 71ST ST,41.764794734,-87.675155029,60636
645,064XX S HOYNE AVE,41.776722357,-87.676272259,60636
646,053XX W WASHINGTON BLVD,41.882330734,-87.758238691,60644
649,033XX W GLADYS AVE,41.876218655,-87.70873054299999,60624
650,069XX S CARPENTER ST,41.767829035,-87.65054929700001,60621
651,066XX S JUSTINE ST,41.773164853000004,-87.662817746,60636
652,024XX E 78TH ST,41.753575278,-87.56414363399999,60649
653,087XX S HALSTED ST,41.735223542,-87.643589082,60620
654,117XX S NORMAL AVE,41.680777707,-87.63476273200001,60628
655,081XX S CORNELL AVE,41.74700064,-87.584186242,60619
657,013XX W 13TH ST,41.865192223,-87.659687336,60607
658,048XX W MONROE ST,41.879494129,-87.74595537299999,60644
659,083XX S MARSHFIELD AVE,41.742506796,-87.66445226299999,60620
660,006XX W 63RD ST,41.779806409,-87.641131698,60621
661,051XX W CHICAGO AVE,41.894947998,-87.754805169,60651
662,079XX S CRANDON AVE,41.751171219,-87.56865795700001,60649
663,066XX S EVANS AVE,41.774038781,-87.607044646,60637
664,014XX W GARFIELD BLVD,41.793705588,-87.66136053700001,60636
665,023XX N KEDZIE BLVD,41.923869468,-87.707193016,60647
666,043XX W MADISON ST,41.880632459,-87.73363965200001,60624
667,031XX W BELMONT AVE,41.93934905,-87.70557876,60618
668,087XX S MARQUETTE AVE,41.736708219,-87.558339802,60617
669,042XX W HADDON AVE,41.901658074000004,-87.732440134,60651
670,007XX E 92ND PL,41.72659283,-87.606223844,60619
671,041XX W ADAMS ST,41.877931554,-87.72934299399999,60624
672,082XX S ELIZABETH ST,41.744135109,-87.654783514,60620
673,054XX S CORNELL AVE,41.796172735999995,-87.58543283799999,60615
674,033XX S LAWNDALE AVE,41.832802038000004,-87.716917256,60623
675,095XX S VINCENNES AVE,41.721110998,-87.650729069,60620
676,132XX S RIVERDALE AVE,41.653605591,-87.60942377200001,60827
677,035XX S ASHLAND AVE,41.829951756,-87.665553441,60609
678,000XX E 118TH ST,41.679859817,-87.622026174,60628
679,000XX N MAYFIELD AVE,41.880995627,-87.771819255,60644
680,011XX W 65TH ST,41.77598207,-87.653744026,60621
681,087XX S MICHIGAN AVE,41.735782635999996,-87.62097712,60619
682,076XX S CHAMPLAIN AVE,41.756161003,-87.60899079200001,60619
683,077XX S KILBOURN AVE,41.751972552,-87.734193722,60652
684,007XX E 133RD ST,41.654340811,-87.604171861,60827
685,048XX W DIVERSEY AVE,41.931520133,-87.747712726,60639
687,077XX S RACINE AVE,41.753589034,-87.653819041,60620
688,111XX S EMERALD AVE,41.691782716999995,-87.641149904,60628
689,060XX W BELDEN AVE,41.922001458000004,-87.776045651,60639
691,004XX N LARAMIE AVE,41.88832617,-87.75535704299999,60644
692,072XX S MAY ST,41.762263405,-87.65282951399999,60621
693,081XX S STONY ISLAND AVE,41.746984035,-87.58542869600001,60619
695,011XX S THROOP ST,41.86815839,-87.659156884,60607
696,085XX S DREXEL AVE,41.739552385,-87.602475891,60619
697,074XX S ELLIS AVE,41.759845228,-87.60055234200001,60637
698,037XX S ELLIS AVE,41.82723347,-87.606979388,60653
705,085XX S HOYNE AVE,41.739015555,-87.675301079,60620
706,009XX N HARDING AVE,41.897998916,-87.72493719399999,60651
707,079XX S VINCENNES AVE,41.750538141,-87.63427808600001,60619
708,043XX S WESTERN AVE,41.815241926999995,-87.684616785,60632
